id,x,y,z,r,g,b,hex,datemod,location_tag,year,month
Pexels_Urban-From Air_00010_2023_11_28,0.36005,0.347325,0.348425,86.45726968174205,77.81549413735344,72.9525460636516,#564d48,11/28/2023,Pexels_Urban-From Air,00010,2023
Pexels_Urban-From Air_00011_2023_11_28,0.3528,0.390725,0.357175,117.31938023450586,126.5962311557789,127.45410385259632,#757e7f,11/28/2023,Pexels_Urban-From Air,00011,2023
Pexels_Urban-From Air_00012_2023_11_28,0.37182499999999996,0.3543,0.3588,135.23112227805694,129.1218592964824,121.31502512562814,#878179,11/28/2023,Pexels_Urban-From Air,00012,2023
Pexels_Urban-From Air_00013_2023_11_28,0.37642499999999995,0.38315,0.36477499999999996,125.26028475711892,140.57837520938023,146.26721943048577,#7d8c92,11/28/2023,Pexels_Urban-From Air,00013,2023
Pexels_Urban-From Air_00014_2023_11_28,0.358225,0.34557499999999997,0.33677500000000005,102.3270351758794,102.77010050251256,102.01187604690118,#666666,11/28/2023,Pexels_Urban-From Air,00014,2023
Pexels_Urban-From Air_00015_2023_11_28,0.344575,0.318575,0.325725,102.88331658291457,90.27298157453936,84.46537688442211,#665a54,11/28/2023,Pexels_Urban-From Air,00015,2023
Pexels_Urban-From Air_00016_2023_11_28,0.37415,0.34782500000000005,0.358,98.39283082077051,96.43254606365159,88.18609715242881,#626058,11/28/2023,Pexels_Urban-From Air,00016,2023
Pexels_Urban-From Air_00017_2023_11_28,0.39564999999999995,0.42172499999999996,0.41077499999999995,157.76926298157454,172.2560636515913,162.064757118928,#9daca2,11/28/2023,Pexels_Urban-From Air,00017,2023
Pexels_Urban-From Air_0001_2023_11_28,0.36669999999999997,0.36317499999999997,0.3533,134.2871691792295,130.8158793969849,130.46239530988274,#868282,11/28/2023,Pexels_Urban-From Air,0001,2023
Pexels_Urban-From Air_0002_2023_11_28,0.38292500000000007,0.365,0.37420000000000003,158.61388609715243,146.2075879396985,134.6414405360134,#9e9286,11/28/2023,Pexels_Urban-From Air,0002,2023
Pexels_Urban-From Air_0003_2023_11_28,0.4179,0.3872,0.398075,144.98405360134004,127.26852596314907,109.39118927973199,#907f6d,11/28/2023,Pexels_Urban-From Air,0003,2023
Pexels_Urban-From Air_0004_2023_11_28,0.37395,0.374225,0.363425,154.5568676716918,146.0768174204355,144.4414907872697,#9a9290,11/28/2023,Pexels_Urban-From Air,0004,2023
Pexels_Urban-From Air_0005_2023_11_28,0.35767499999999997,0.38435,0.36525,131.87556113902846,135.30914572864322,142.67968174204356,#83878e,11/28/2023,Pexels_Urban-From Air,0005,2023
Pexels_Urban-From Air_0006_2023_11_28,0.3467,0.36672499999999997,0.350175,149.25544388609714,147.98303182579565,150.70507537688442,#959396,11/28/2023,Pexels_Urban-From Air,0006,2023
