hex,r,g,b,gs,cluster_size,pantone_hex,pantone_name,group_id,cluster_id,ref_cat,ref_name
#f06d02,240,109,2,135.73,190,,,0,172,None,None
#de7970,222,121,112,149.95,225,fadc53,marigold,4,173,Red,LightCoral
#3e3e43,62,62,67,62.51,904,5f575c,rabbit,10,174,White,White
#53606e,83,96,110,93.63,584,646762,castor-gray,11,175,Grey,Black
#0198ac,1,152,172,109.13,610,,,0,176,None,None
#fdf5ea,253,245,234,245.88,1011,f2f0eb,snow-white,10,177,White,WhiteSmoke
#8182ae,129,130,174,134.59,346,a49e9e,opal-gray,11,178,Grey,SlateGray
#73acb6,115,172,182,155.98,658,748995,citadel,0,179,None,None
#90bfdc,144,191,220,180.11,518,a1c8db,crystal-blue,8,180,Blue,CornflowerBlue
#1a6c9f,26,108,159,89.27,566,478589,teal,0,181,None,None
#a2b7b2,162,183,178,175.99,949,aeb2b5,high-rise,11,182,Grey,Gray
#593864,89,56,100,70.79,198,5f575c,rabbit,0,183,None,None
#f1efdf,241,239,223,237.53,1000,f2f0eb,snow-white,10,184,White,AntiqueWhite
#64422d,100,66,45,73.67,443,625b5c,plum-kitten,0,185,None,None
#65788a,101,120,138,116.27,664,8e918f,neutral-gray,11,186,Grey,DarkSlateGray
#f1aa3c,241,170,60,178.45,84,bdc6dc,halogen-blue,0,187,None,None
#4c4647,76,70,71,71.83,1085,5f5e62,castlerock,0,188,None,None
#70747a,112,116,122,115.38,913,82776b,brindle,11,189,Grey,DimGray
#fbdda4,251,221,164,223.22,207,f9c2cd,rose-shadow,5,190,Brown,NavajoWhite
#a85a60,168,90,96,113.84,149,988467,kelp,0,191,None,None
#5d5c23,93,92,35,85.71,140,54392d,potting-soil,6,192,Green,DarkOliveGreen
#93afa8,147,175,168,165.68,535,a09f9c,drizzle,11,193,Grey,Gray
#948073,148,128,115,132.35,514,938772,coriander,11,194,Grey,DimGray
#00326c,0,50,108,41.66,316,fbc85f,samoan-sun,0,195,None,None
#aaa29d,170,162,157,163.65,911,b1b09f,agate-gray,11,196,Grey,Gray
#4c5055,76,80,85,79.3,745,5f5e62,castlerock,10,197,White,White
#7d938e,125,147,142,139.73,590,918c86,rock-ridge,11,198,Grey,SlateGray
#042b3b,4,43,59,33.16,530,e86800,exuberance,0,199,None,None
#131d1f,19,29,31,26.22,1689,,,0,200,None,None
#9e8f7b,158,143,123,145.05,609,958b84,moon-rock,0,201,None,None
#804229,128,66,41,81.56,154,6e493a,friar-brown,5,202,Brown,SaddleBrown
#a58066,165,128,102,135.93,315,a78c8b,almondine,0,203,None,None
#057db1,5,125,177,95.04,234,,,0,204,None,None
#d4e4ea,212,228,234,223.69,888,e7e9e7,blanc-de-blanc,11,205,Grey,Silver
#efe0e2,239,224,226,228.47,503,f2f0eb,snow-white,9,206,Purple,Thistle
#459fb0,69,159,176,133.96,177,c9d3dc,illusion-blue,8,207,Blue,RoyalBlue
#193549,25,53,73,46.88,551,fbc85f,samoan-sun,0,208,None,None
#a6bed2,166,190,210,184.94,1358,bdb369,golden-green,8,209,Blue,LightSkyBlue
#7ca7c9,124,167,201,157.89,745,7181a4,english-manor,0,210,None,None
#daceb9,218,206,185,206.98,768,e9d1bf,pastel-rose-tan,11,211,Grey,DarkGray
#f7ca7f,247,202,127,206.66,192,e6b2b8,coral-blush,0,212,None,None
#393736,57,55,54,55.43,1020,4a4139,wren,0,213,None,None
#025081,2,80,129,62.26,341,5d89b3,lichen-blue,0,214,None,None
#017b92,1,123,146,89.14,253,478589,teal,7,215,Cyan,DarkCyan
#301a0f,48,26,15,31.28,517,,,0,216,None,None
#0e0d09,14,13,9,12.83,730,,,10,217,White,Ivory
#c89c7e,200,156,126,165.54,184,c5ae91,warm-sand,5,218,Brown,RosyBrown
#33361a,51,54,26,49.86,368,2d2c2f,jet-black,0,219,None,None
#a99cb9,169,156,185,163.02,354,bfb9a3,tidal-foam,11,220,Grey,Gray
#866753,134,103,83,109.86,402,4a3f41,shale,0,221,None,None
#958f8c,149,143,140,144.3,880,9c8e7b,chinchilla,11,222,Grey,DimGray
#8799ac,135,153,172,149.65,791,989a98,limestone,0,223,None,None
#c0d3dd,192,211,221,206.27,1822,d3dedf,spa-blue,11,224,Grey,DarkGray
#dc5702,220,87,2,116.86,113,,,0,225,None,None
#55a5d1,85,165,209,146.01,501,77333b,ruby-wine,0,226,None,None
#7b7d87,123,125,135,125.42,758,918c7e,laurel-oak,11,227,Grey,DimGray
#90939c,144,147,156,146.98,724,9a927f,seneca-rock,11,228,Grey,SlateGray
#849c96,132,156,150,148.01,628,989a98,limestone,11,229,Grey,SlateGray
#a36790,163,103,144,125.45,375,a6997a,olive-gray,0,230,None,None
#303e54,48,62,84,60.27,686,3a3536,licorice,10,231,White,White
#023947,2,57,71,42.15,433,e86800,exuberance,0,232,None,None
#73604d,115,96,77,99.4,494,696156,bungee-cord,0,233,None,None
#405e7d,64,94,125,88.5,635,66648b,twilight-purple,0,234,None,None
#619ddf,97,157,223,146.49,310,77333b,ruby-wine,8,235,Blue,DeepSkyBlue
#890805,137,8,5,46.09,20,,,4,236,Red,DarkRed
#557bbd,85,123,189,119.08,265,3c586b,indian-teal,8,237,Blue,RoyalBlue
#545c98,84,92,152,96.36,276,8e918f,neutral-gray,0,238,None,None
#98a0a7,152,160,167,158.25,912,aa9f96,string,11,239,Grey,Gray
#89c4ec,137,196,236,182.78,357,d1d5d0,foggy-dew,8,240,Blue,CornflowerBlue
#258bb7,37,139,183,113.48,239,00819d,caribbean-sea,0,241,None,None
#7c5272,124,82,114,98.08,222,8a7963,lead-gray,0,242,None,None
#60839e,96,131,158,123.52,392,8c9cc1,lavender-lustre,11,243,Grey,DarkSlateGray
#495663,73,86,99,83.52,560,686d6c,sedona-sage,0,244,None,None
#caccd2,202,204,210,203.88,1260,ddd5c7,birch,11,245,Grey,DarkGray
#60a6b3,96,166,179,146.46,401,86a1a9,tourmaline,7,246,Cyan,CadetBlue
#8a7467,138,116,103,120.96,554,8a7963,lead-gray,11,247,Grey,DimGray
#bdc2bf,189,194,191,191.97,1310,c1bcac,pelican,11,248,Grey,LightSlateGray
#9bb0c6,155,176,198,172.07,719,cac5c2,wind-chime,0,249,None,None
